id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
0003ac4cc22ae10f4ad29bd6,Old Sensitivity,Gammal känslighet,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,201025362af4005a3ee2a0f5,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
003d3d85e2ae9a35720d2fa1,Soft Clipping,Mjuk klippning,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,12853dc5a9684194f6a2d342,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
005b66ec19dc99d5a131e592,Copy Labeled Audio,Kopiera ljud med etikett,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,e0246f442ca9555497ad77f3,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
00a840d9a7c0623a292dafbc,Audio File,Ljudfil,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,c4345f574275e6e1f3669af7,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
00bd59fb7e31a0726dd3bd55,Used Space,Använt utrymme,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,ef7d1437018df4bcbe48049b,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
00d3dcc56a7fe6c41143c3b7,Matroska import and export,Import och export av Matroska,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,efd154658110f2d699fb2fe3,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
00d3ded3bb0a1ed31a58c474,Trim audio outside selection,Beskär ljud utanför markeringen,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,2d5a038bd3b28a1da57ebfcc,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
013a43613856c48216fbbc8c,Select Recording Device,Välj inspelningsenhet,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,35e341c16394670af301cedd,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
013cd42198fd763cd889756e,De&lete and leave gap,Ta &bort och lämna ett mellanrum,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,cce09180bd469a253b7a3f8d,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
016374772cebb088bc4ebd21,Pitch Shift,Tonhöjdsförskjutning,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,6db393372e26fb66e08a410a,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
0174d80e0521e95b1d3aab21,thousandths of decades,tusendelar av dekader,Tenacity,tenacity-sv,,"Granskad filleverans. Endast färdiga, aktiva översättningar tas med; detta är inte ett påstående om separat registrerat radbeslut för varje oförändrad post.",project-context,1a7a857a9b2b6e400a70bd5a,reviewed-file-delivery,https://github.com/yeager/translations/blob/67e6d27877c9cfd6b6dbc74bd852b10bdbe09c3c/Tenacity/tenacity-sv.po,f764dab79216b0afc662bc00fb0108394f8ac53bf8b8b31d094d0725cb65cb3f,{}
